id	file	taken	taken-unix	recvd	recvd-unix	target	range-km	filter1	filter2	image-url	download-as
320048	N00231331.jpg	20141130	1417305600	20141201	1417392000	DAPHNIS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231331.jpg	20141130.N00231331.DAPHNIS.CL1.CL2.0.jpg
320049	N00231332.jpg	20141130	1417305600	20141201	1417392000	DAPHNIS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231332.jpg	20141130.N00231332.DAPHNIS.CL1.CL2.0.jpg
320050	N00231333.jpg	20141130	1417305600	20141201	1417392000	PROMETHEUS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231333.jpg	20141130.N00231333.PROMETHEUS.CL1.CL2.0.jpg
320051	N00231334.jpg	20141130	1417305600	20141201	1417392000	PROMETHEUS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231334.jpg	20141130.N00231334.PROMETHEUS.CL1.CL2.0.jpg
320052	N00231335.jpg	20141130	1417305600	20141201	1417392000	TELESTO	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231335.jpg	20141130.N00231335.TELESTO.CL1.CL2.0.jpg
320053	N00231336.jpg	20141130	1417305600	20141201	1417392000	TELESTO	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231336.jpg	20141130.N00231336.TELESTO.CL1.CL2.0.jpg
320054	N00231337.jpg	20141130	1417305600	20141201	1417392000	HELENE	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231337.jpg	20141130.N00231337.HELENE.CL1.CL2.0.jpg
320055	N00231338.jpg	20141130	1417305600	20141201	1417392000	HELENE	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231338.jpg	20141130.N00231338.HELENE.CL1.CL2.0.jpg
320056	N00231339.jpg	20141130	1417305600	20141201	1417392000	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231339.jpg	20141130.N00231339.AEGAEON.CL1.CL2.0.jpg
320057	N00231340.jpg	20141130	1417305600	20141201	1417392000	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231340.jpg	20141130.N00231340.AEGAEON.CL1.CL2.0.jpg
320058	N00231341.jpg	20141130	1417305600	20141201	1417392000	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231341.jpg	20141130.N00231341.AEGAEON.CL1.CL2.0.jpg
320059	N00231342.jpg	20141130	1417305600	20141201	1417392000	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231342.jpg	20141130.N00231342.AEGAEON.CL1.CL2.0.jpg
320060	N00231343.jpg	20141130	1417305600	20141201	1417392000	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231343.jpg	20141130.N00231343.AEGAEON.CL1.CL2.0.jpg
320061	N00231344.jpg	20141130	1417305600	20141201	1417392000	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231344.jpg	20141130.N00231344.AEGAEON.CL1.CL2.0.jpg
320062	N00231345.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231345.jpg	20141130.N00231345.AEGAEON.CL1.CL2.0.jpg
320063	N00231346.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231346.jpg	20141130.N00231346.AEGAEON.CL1.CL2.0.jpg
320064	N00231347.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231347.jpg	20141130.N00231347.AEGAEON.CL1.CL2.0.jpg
320065	N00231348.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231348.jpg	20141130.N00231348.AEGAEON.CL1.CL2.0.jpg
320066	N00231349.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231349.jpg	20141130.N00231349.AEGAEON.CL1.CL2.0.jpg
320067	N00231350.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231350.jpg	20141130.N00231350.AEGAEON.CL1.CL2.0.jpg
320068	N00231351.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231351.jpg	20141130.N00231351.AEGAEON.CL1.CL2.0.jpg
320069	N00231352.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231352.jpg	20141130.N00231352.AEGAEON.CL1.CL2.0.jpg
320070	N00231353.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231353.jpg	20141130.N00231353.AEGAEON.CL1.CL2.0.jpg
320071	N00231354.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231354.jpg	20141130.N00231354.AEGAEON.CL1.CL2.0.jpg
320072	N00231355.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231355.jpg	20141130.N00231355.AEGAEON.CL1.CL2.0.jpg
320073	N00231356.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231356.jpg	20141130.N00231356.AEGAEON.CL1.CL2.0.jpg
320074	N00231357.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231357.jpg	20141130.N00231357.AEGAEON.CL1.CL2.0.jpg
320075	N00231358.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231358.jpg	20141130.N00231358.AEGAEON.CL1.CL2.0.jpg
320076	N00231359.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231359.jpg	20141130.N00231359.AEGAEON.CL1.CL2.0.jpg
320077	N00231360.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231360.jpg	20141130.N00231360.AEGAEON.CL1.CL2.0.jpg
320078	N00231361.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231361.jpg	20141130.N00231361.AEGAEON.CL1.CL2.0.jpg
320079	N00231362.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231362.jpg	20141130.N00231362.AEGAEON.CL1.CL2.0.jpg
320080	N00231363.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231363.jpg	20141130.N00231363.AEGAEON.CL1.CL2.0.jpg
320081	N00231364.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231364.jpg	20141130.N00231364.AEGAEON.CL1.CL2.0.jpg
320082	N00231365.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231365.jpg	20141130.N00231365.AEGAEON.CL1.CL2.0.jpg
320083	N00231366.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231366.jpg	20141130.N00231366.AEGAEON.CL1.CL2.0.jpg
320084	N00231367.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231367.jpg	20141130.N00231367.AEGAEON.CL1.CL2.0.jpg
320085	N00231368.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231368.jpg	20141130.N00231368.AEGAEON.CL1.CL2.0.jpg
320086	N00231369.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231369.jpg	20141130.N00231369.AEGAEON.CL1.CL2.0.jpg
320087	N00231370.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231370.jpg	20141130.N00231370.AEGAEON.CL1.CL2.0.jpg
320088	N00231371.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231371.jpg	20141130.N00231371.AEGAEON.CL1.CL2.0.jpg
320089	N00231372.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231372.jpg	20141130.N00231372.AEGAEON.CL1.CL2.0.jpg
320090	N00231373.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231373.jpg	20141130.N00231373.AEGAEON.CL1.CL2.0.jpg
320091	N00231374.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231374.jpg	20141130.N00231374.AEGAEON.CL1.CL2.0.jpg
320092	N00231375.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231375.jpg	20141130.N00231375.AEGAEON.CL1.CL2.0.jpg
320093	N00231376.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231376.jpg	20141130.N00231376.AEGAEON.CL1.CL2.0.jpg
320094	N00231377.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231377.jpg	20141130.N00231377.AEGAEON.CL1.CL2.0.jpg
320095	N00231378.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231378.jpg	20141130.N00231378.AEGAEON.CL1.CL2.0.jpg
320096	N00231379.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231379.jpg	20141130.N00231379.AEGAEON.CL1.CL2.0.jpg
320097	N00231380.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231380.jpg	20141130.N00231380.AEGAEON.CL1.CL2.0.jpg
320098	N00231381.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231381.jpg	20141130.N00231381.AEGAEON.CL1.CL2.0.jpg
320099	N00231382.jpg	20141130	1417305600	20141202	1417478400	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231382.jpg	20141130.N00231382.AEGAEON.CL1.CL2.0.jpg
320100	N00231383.jpg	20141201	1417392000	20141203	1417564800	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231383.jpg	20141201.N00231383.AEGAEON.CL1.CL2.0.jpg
320101	N00231384.jpg	20141201	1417392000	20141203	1417564800	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231384.jpg	20141201.N00231384.AEGAEON.CL1.CL2.0.jpg
320102	N00231385.jpg	20141201	1417392000	20141203	1417564800	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231385.jpg	20141201.N00231385.AEGAEON.CL1.CL2.0.jpg
320103	N00231386.jpg	20141201	1417392000	20141203	1417564800	AEGAEON	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231386.jpg	20141201.N00231386.AEGAEON.CL1.CL2.0.jpg
320104	W00090670.jpg	20141204	1417651200	20141206	1417824000	SATURN-RINGS	1855113	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/W00090670.jpg	20141204.W00090670.SATURN-RINGS.CL1.CL2.1855113.jpg
320105	W00090671.jpg	20141205	1417737600	20141206	1417824000	SATURN-RINGS	1848118	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/W00090671.jpg	20141205.W00090671.SATURN-RINGS.CL1.CL2.1848118.jpg
320106	N00231387.jpg	20141204	1417651200	20141206	1417824000	TITAN	2123547	CL1	CB3	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231387.jpg	20141204.N00231387.TITAN.CL1.CB3.2123547.jpg
320107	N00231388.jpg	20141204	1417651200	20141206	1417824000	TITAN	2123538	CL1	CB3	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231388.jpg	20141204.N00231388.TITAN.CL1.CB3.2123538.jpg
320108	N00231389.jpg	20141204	1417651200	20141206	1417824000	TITAN	2123522	CL1	CB3	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231389.jpg	20141204.N00231389.TITAN.CL1.CB3.2123522.jpg
320109	N00231390.jpg	20141204	1417651200	20141206	1417824000	TITAN	2123503	CL1	MT1	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231390.jpg	20141204.N00231390.TITAN.CL1.MT1.2123503.jpg
320110	N00231391.jpg	20141204	1417651200	20141206	1417824000	TITAN	2123488	CL1	MT3	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231391.jpg	20141204.N00231391.TITAN.CL1.MT3.2123488.jpg
320111	N00231392.jpg	20141204	1417651200	20141206	1417824000	TITAN	2123476	RED	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231392.jpg	20141204.N00231392.TITAN.RED.CL2.2123476.jpg
